"x"	"y"	"Tayloria_serrata"	"Thuidium_assimile"	"Tortella_pseudofragilis"	"ddeg0"	"mind68"	"srad68"	"slope25"	"topos25"
"1"	2575603.7104	1122200.7868	0	0	0	20550.810546875	500.641510009766	18444.234375	39.3023872375488	-185.990173339844
"2"	2575800.8675	1122501.846	0	0	1	19386.82421875	416.338806152344	21325.6328125	45.0119819641113	-39.113452911377
"3"	2576600.9441	1123898.3997	0	0	0	16513.19921875	209.396560668945	29218.697265625	20.9150714874268	-116.091361999512
"4"	2576974.4669	1123426.2708	0	0	0	16897.2890625	389.0068359375	24444.279296875	13.6598205566406	-131.079498291016
"5"	2577188.3401	1123302.4174	0	0	0	14250.2333984375	801.565856933594	16772.294921875	51.8396682739258	-53.6892242431641
"6"	2576497.1082	1123185.8567	0	0	0	16796.802734375	310.211456298828	26354.060546875	19.5204105377197	-81.5648345947266
"7"	2576073.8232	1122944.3345	0	0	0	19152.00390625	304.967468261719	24149.349609375	22.6830539703369	-130.927154541016
"8"	2579149.7452	1126813.5976	0	0	0	14451.8955078125	357.970581054688	29844.013671875	12.1208066940308	-125.691558837891
"9"	2579299.7442	1127000.0428	0	0	0	13278.111328125	421.558990478516	30199.7265625	21.9152584075928	-118.957817077637
"10"	2579493.3483	1127048.1838	0	0	0	12904.958984375	446.020446777344	30244.416015625	21.6916770935059	-113.582252502441
"11"	2579599.8725	1127302.4994	0	0	0	11573.4111328125	565.940551757812	29499.625	31.7979011535645	-51.0691680908203
"12"	2580699.1588	1127020.2586	0	0	0	11976.0771484375	525.207580566406	30058.130859375	22.7347068786621	-97.2302932739258
"13"	2580806.114	1127042.4684	0	0	0	11960.35546875	543.162902832031	29637.482421875	27.2832527160645	-126.709884643555
"14"	2580735.2118	1126895.3131	0	0	0	11976.0771484375	525.207580566406	30058.130859375	22.7347068786621	-97.2302932739258
"15"	2580599.3376	1126794.577	0	0	0	12805.9501953125	450.848846435547	30402.271484375	15.1847162246704	-87.8316345214844
"16"	2581000.1666	1126549.972	0	0	0	13056.72265625	475.576934814453	29194.755859375	12.6350917816162	-22.5235652923584
"17"	2581187.6283	1126615.6967	0	0	0	12899.384765625	468.441864013672	29797.6953125	14.0359745025635	-70.0420455932617
"18"	2580927.5688	1126330.8777	0	0	0	13313.513671875	463.386352539062	28861.869140625	11.6214122772217	-20.8256072998047
"19"	2580320.3861	1126279.9589	0	0	0	13266.3330078125	547.168640136719	26612.439453125	15.5075988769531	-29.6525802612305
"20"	2580380.367	1126279.5304	0	0	0	13266.3330078125	547.168640136719	26612.439453125	15.5075988769531	-29.6525802612305
"21"	2580600.1465	1126400.2661	0	0	0	13312.794921875	426.358764648438	29967.1640625	7.02793407440186	-70.81298828125
"22"	2580927.8202	1126009.7547	0	0	0	13932.30078125	401.344116210938	29290.087890625	29.0464324951172	4.44004106521606
"23"	2580602.1508	1125896.6998	0	0	0	13471.111328125	402.271850585938	29977.841796875	20.8472785949707	-0.880270421504974
"24"	2580384.4975	1126009.667	0	0	0	13140.15625	453.407562255859	29093.439453125	16.2752647399902	-3.77186369895935
"25"	2580200.4586	1125803.7894	1	0	0	12920.0625	504.574310302734	27901.78515625	12.4007902145386	-3.21846723556519
"26"	2580000.4961	1125598.5311	0	0	0	12920.0625	504.574310302734	27901.78515625	12.4007902145386	-3.21846723556519
"27"	2580292.0372	1125168.1028	0	0	0	13285.7138671875	554.009887695312	25703.51953125	18.9435234069824	-110.603660583496
"28"	2579980.0352	1125113.5502	1	0	0	12415.5439453125	531.012390136719	27669.04296875	18.5924701690674	30.6024188995361
"29"	2579874.5694	1125137.3439	0	0	0	12415.5439453125	531.012390136719	27669.04296875	18.5924701690674	30.6024188995361
"30"	2577999.4345	1124697.538	0	0	0	15644.798828125	310.617004394531	28049.0703125	23.6821022033691	-165.872314453125
